Time [s],Dn,Dp,out_en
0.279469740,0,1,0
0.279469910,1,0,0
0.279469990,0,1,0
0.279470160,1,0,0
0.279470330,0,1,0
0.279470410,1,0,0
0.279470740,0,1,0
0.279471330,1,0,0
0.279471410,0,1,0
0.279471490,1,0,0
0.279471570,0,0,0
0.279471580,0,1,0
0.279471740,0,0,0
0.279471910,0,1,0
0.279473080,1,0,0
0.279473160,0,1,0
0.279473240,1,0,0
0.279473330,0,1,0
0.279473410,1,0,0
0.279473490,0,1,0
0.279473580,1,0,0
0.279473830,0,1,0
0.279473910,1,0,0
0.279474080,0,1,0
0.279474330,1,0,0
0.279474410,0,1,0
0.279474580,1,0,0
0.279474660,0,1,0
0.279474740,1,0,0
0.279474830,0,1,0
0.279474910,1,0,0
0.279474990,0,1,0
0.279475160,1,0,0
0.279475240,0,1,0
0.279475330,1,0,0
0.279475410,0,1,0
0.279475490,1,0,0
0.279475580,0,1,0
0.279475740,0,0,0
0.279475910,0,1,0
0.280468990,1,0,0
0.280469070,0,1,0
0.280469160,1,0,0
0.280469240,0,1,0
0.280469320,1,0,0
0.280469410,0,1,0
0.280469490,1,0,0
0.280469740,0,1,0
0.280469910,1,0,0
0.280469990,0,1,0
0.280470160,1,0,0
0.280470410,0,1,0
0.280470740,1,0,0
0.280471240,0,1,0
0.280471570,1,0,0
0.280471660,0,0,0
0.280471820,0,1,0
0.281468990,1,0,0
0.281469070,0,1,0
0.281469150,1,0,0
0.281469240,0,1,0
0.281469320,1,0,0
0.281469400,0,1,0
0.281469490,1,0,0
0.281469740,0,1,0
0.281469900,1,0,0
0.281469990,0,1,0
0.281470150,1,0,0
0.281470320,0,1,0
0.281470740,1,0,0
0.281471240,0,1,0
0.281471490,1,0,0
0.281471570,0,1,0
0.281471650,0,0,0
0.281471820,0,1,0
0.282468990,1,0,0
0.282469070,0,1,0
0.282469150,1,0,0
0.282469230,0,1,0
0.282469320,1,0,0
0.282469400,0,1,0
0.282469480,1,0,0
0.282469730,0,1,0
0.282469900,1,0,0
0.282469980,0,1,0
0.282470150,1,0,0
0.282470730,0,1,0
0.282470820,1,0,0
0.282471400,0,1,0
0.282471480,1,0,0
0.282471570,0,1,0
0.282471820,0,0,0
0.282471980,0,1,0
0.283468980,1,0,0
0.283469060,0,1,0
0.283469150,1,0,0
0.283469230,0,1,0
0.283469310,1,0,0
0.283469400,0,1,0
0.283469480,1,0,0
0.283469730,0,1,0
0.283469900,1,0,0
0.283469980,0,1,0
0.283470150,1,0,0
